record_id,event_type,tier,recommended_action,risk_probability_model,decision_status,event_time,model_version
injected_0002e98d11f04a00180d,automated_risk_assessment,C_Watch,downweight_and_monitor,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_003feb59918f6fb266d1,automated_risk_assessment,B_Standard,normal_use_with_monitoring,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_0120dcb90089e6b77653,automated_risk_assessment,B_Standard,normal_use_with_monitoring,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_0143a4b14c54db8155dc,automated_risk_assessment,C_Watch,downweight_and_monitor,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_01830921eb3ca5bdc481,automated_risk_assessment,C_Watch,downweight_and_monitor,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_01a130eacb53a938deca,automated_risk_assessment,B_Standard,normal_use_with_monitoring,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_01a3499ea843bc799299,automated_risk_assessment,B_Standard,normal_use_with_monitoring,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_01f5a1d798446cc2a154,automated_risk_assessment,C_Watch,downweight_and_monitor,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_03259f87702783e7bac8,automated_risk_assessment,B_Standard,normal_use_with_monitoring,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_03887ed2d6eccf683d93,automated_risk_assessment,B_Standard,normal_use_with_monitoring,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_03a11aca9ee07f3ef9cd,automated_risk_assessment,D_Review_Required,human_review,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_03b56c8851a46bb630f3,automated_risk_assessment,B_Standard,normal_use_with_monitoring,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_047b339ccfa6a2bf5695,automated_risk_assessment,B_Standard,normal_use_with_monitoring,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_04c50c5661cec7feda1c,automated_risk_assessment,B_Standard,normal_use_with_monitoring,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_04d02eb65f07324323f9,automated_risk_assessment,B_Standard,normal_use_with_monitoring,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
injected_04ee9a5fba2c32cee5eb,automated_risk_assessment,B_Standard,normal_use_with_monitoring,1.0,pending_human_review,2026-09-01T02:41:37.475634+00:00,0.2.0
