contamination,method,n,positives,threshold,accuracy,precision,recall,f1,fpr,fnr,brier,ece,tp,fp,tn,fn,auroc,auprc
0.01,behavior_only,16372,188,0.5,0.9885169802101148,0.0,0.0,0.0,0.0,1.0,0.053318608962488724,0.19418979988291077,0,0,16184,188,0.6108873618283359,0.403495207851002
0.01,content_only,16372,188,0.5,0.9885169802101148,0.0,0.0,0.0,0.0,1.0,0.016421019159967208,0.04286149959123731,0,0,16184,188,0.513098042721469,0.12065271666130278
0.01,multi_evidence_logistic,16372,188,0.9,0.9626191057903738,0.1267605633802817,0.3829787234042553,0.19047619047619047,0.03064755313890262,0.6170212765957447,0.14650166771773138,0.2405069672973378,72,496,15688,116,0.797892553454423,0.3533038796425568
0.01,no_filter,16372,188,0.5,0.9885169802101148,0.0,0.0,0.0,0.0,1.0,0.01148301978988517,0.01148301978988517,0,0,16184,188,0.5,0.01148301978988517
0.01,rule_fusion,16372,188,0.5,0.9889445394576105,1.0,0.03723404255319149,0.07179487179487179,0.0,0.9627659574468085,0.04278614965908469,0.1520414796456013,7,0,16184,181,0.6600249063955996,0.09803523603481198
0.01,simple_rule,16372,188,0.5,0.9919374541900806,0.9827586206896551,0.30319148936170215,0.4634146341463415,6.178942165101334e-05,0.6968085106382979,0.008062545809919374,0.008062545809919375,57,1,16183,131,0.6515648499700256,0.30596551580736864
0.05,behavior_only,17226,1042,0.5,0.9395100429583189,0.0,0.0,0.0,0.0,1.0,0.08266327945289313,0.1795908375621376,0,0,16184,1042,0.6154888468314955,0.5546344933043656
0.05,content_only,17226,1042,0.5,0.942702890978753,1.0,0.052783109404990404,0.10027347310847767,0.0,0.9472168905950096,0.05775349233935833,0.08736734698885636,55,0,16184,987,0.5189907889880576,0.24712505416266417
0.05,multi_evidence_logistic,17226,1042,0.9,0.9634854290026704,0.8133535660091047,0.5143953934740882,0.630217519106408,0.007600098863074642,0.4856046065259117,0.08232102788944891,0.1637298804277777,536,123,16061,506,0.9316469644197297,0.7142570140931495
0.05,no_filter,17226,1042,0.5,0.9395100429583189,0.0,0.0,0.0,0.0,1.0,0.060489957041681176,0.060489957041681176,0,0,16184,1042,0.5,0.060489957041681176
0.05,rule_fusion,17226,1042,0.5,0.9407291303843028,1.0,0.02015355086372361,0.03951081843838194,0.0,0.9798464491362764,0.05812432563220559,0.09245816906102852,21,0,16184,1021,0.7873488590423185,0.3434122702705498
0.05,simple_rule,17226,1042,0.5,0.9567514222686636,0.9966555183946488,0.28598848368522073,0.4444444444444444,6.178942165101334e-05,0.7140115163147792,0.04324857773133635,0.043248577731336356,298,1,16183,744,0.6429633471317848,0.32822252641133987
0.1,behavior_only,18233,2049,0.5,0.8876213459112599,0.0,0.0,0.0,0.0,1.0,0.113075821237973,0.18166024544380827,0,0,16184,2049,0.5981372675674351,0.5758398479319607
0.1,content_only,18233,2049,0.5,0.9084078319530522,1.0,0.18496827720839434,0.31219110378912684,0.0,0.8150317227916056,0.09956839568770547,0.130194204976425,379,0,16184,1670,0.5180982241316128,0.2873903787096034
0.1,multi_evidence_logistic,18233,2049,0.9,0.9505292601327264,0.8985406532314107,0.6310395314787701,0.7413990825688074,0.009021255561047948,0.3689604685212299,0.08418135781553454,0.1551832250246932,1293,146,16038,756,0.953884811611321,0.8516042055006985
0.1,no_filter,18233,2049,0.5,0.8876213459112599,0.0,0.0,0.0,0.0,1.0,0.11237865408874019,0.11237865408874019,0,0,16184,2049,0.5,0.11237865408874019
0.1,rule_fusion,18233,2049,0.5,0.891954149070367,1.0,0.038555392874572963,0.07424812030075188,0.0,0.961444607125427,0.08209836324851333,0.08402437922395306,79,0,16184,1970,0.8441305296556656,0.5537306683386579
0.1,simple_rule,18233,2049,0.5,0.9204738660670213,0.9983361064891847,0.29282576866764276,0.4528301886792453,6.178942165101334e-05,0.7071742313323572,0.07952613393297867,0.07952613393297865,600,1,16183,1449,0.6463819896229959,0.37180982609472685
0.2,behavior_only,20223,4039,0.5,0.8002769124264452,0.0,0.0,0.0,0.0,1.0,0.1705077218490992,0.2160253386550302,0,0,16184,4039,0.5734745447776419,0.5927201548766288
0.2,content_only,20223,4039,0.5,0.8395885872521387,1.0,0.19683089873731122,0.3289201489449731,0.0,0.8031691012626888,0.16972881792496142,0.20123111539437802,795,0,16184,3244,0.5178950670899413,0.3572423114851725
0.2,multi_evidence_logistic,20223,4039,0.9,0.9195964990357514,0.9808688720605819,0.6093092349591483,0.7516799022602322,0.002965892239248641,0.3906907650408517,0.05855305899533979,0.09010464192403278,2461,48,16136,1578,0.9698984318979911,0.9248872116029773
0.2,no_filter,20223,4039,0.5,0.8002769124264452,0.0,0.0,0.0,0.0,1.0,0.19972308757355486,0.19972308757355486,0,0,16184,4039,0.5,0.19972308757355486
0.2,rule_fusion,20223,4039,0.5,0.805023982594076,0.9615384615384616,0.02475860361475613,0.048274197441467534,0.00024715768660405336,0.9752413963852439,0.12349108663220054,0.11811682592887253,100,4,16180,3939,0.8894905372690416,0.7575842815993468
0.2,simple_rule,20223,4039,0.5,0.8582307273896059,0.9991482112436116,0.2904184204010894,0.4500287742183004,6.178942165101334e-05,0.7095815795989107,0.1417692726103941,0.14176927261039413,1173,1,16183,2866,0.6451783154897192,0.4318908692187583
0.3,behavior_only,22184,6000,0.5,0.7295347998557519,0.0,0.0,0.0,0.0,1.0,0.26029768938531617,0.4245882538387607,0,0,16184,6000,0.3357888706953369,0.37909257995367873
0.3,content_only,22184,6000,0.5,0.7833573746844573,1.0,0.199,0.33194328607172646,0.0,0.801,0.2256370886363094,0.2574349820479543,1194,0,16184,4806,0.5191970773603559,0.4156426253155428
0.3,multi_evidence_logistic,22184,6000,0.9,0.8910476018752254,0.9923055784556197,0.6018333333333333,0.749247847287063,0.0017301038062283738,0.39816666666666667,0.055168057404541455,0.05011303096085346,3611,28,16156,2389,0.9752989784148953,0.9489835311073941
0.3,no_filter,22184,6000,0.5,0.7295347998557519,0.0,0.0,0.0,0.0,1.0,0.27046520014424813,0.27046520014424813,0,0,16184,6000,0.5,0.27046520014424813
0.3,rule_fusion,22184,6000,0.5,0.7335917778579156,0.9591836734693877,0.015666666666666666,0.03082978025582158,0.00024715768660405336,0.9843333333333333,0.17127630383211584,0.1020809898350542,94,4,16180,5906,0.7841097946531554,0.6946585284239054
0.3,simple_rule,22184,6000,0.5,0.8067075369635773,0.9994165694282381,0.2855,0.4441275602800104,6.178942165101334e-05,0.7145,0.19329246303642264,0.19329246303642264,1713,1,16183,4287,0.6427191052891744,0.4785808160748273
