contamination,method,n,positives,threshold,accuracy,precision,recall,f1,fpr,fnr,brier,ece,tp,fp,tn,fn,auroc,auprc,entities,raw_spearman,weighted_spearman,raw_kendall,weighted_kendall,raw_topk_overlap,weighted_topk_overlap,raw_mean_rank_error,weighted_mean_rank_error,raw_ndcg,weighted_ndcg
0.01,no_filter,16372,188,0.5,0.9885169802101148,0.0,0.0,0.0,0.0,1.0,0.01148301978988517,0.01148301978988517,0,0,16184,188,0.5,0.01148301978988517,2000,0.9996562560421138,0.9940989843594253,0.9960657102845702,0.942317888360947,0.94,0.88,3.021,38.7625,0.9999385853081499,0.9999076132775154
0.01,simple_rule,16372,188,0.5,0.9919374541900806,0.9827586206896551,0.30319148936170215,0.4634146341463415,6.178942165101334e-05,0.6968085106382979,0.008062545809919374,0.008062545809919375,57,1,16183,131,0.6515648499700256,0.30596551580736864,2000,0.9996562560421138,0.9940989843594253,0.9960657102845702,0.942317888360947,0.94,0.88,3.021,38.7625,0.9999385853081499,0.9999076132775154
0.01,behavior_only,16372,188,0.5,0.9885169802101148,0.0,0.0,0.0,0.0,1.0,0.05331777966467622,0.19411345001728658,0,0,16184,188,0.6109550672584428,0.40139269756054,2000,0.9996562560421138,0.9940989843594253,0.9960657102845702,0.942317888360947,0.94,0.88,3.021,38.7625,0.9999385853081499,0.9999076132775154
0.01,content_only,16372,188,0.5,0.9885169802101148,0.0,0.0,0.0,0.0,1.0,0.016428266944055674,0.042642515896773,0,0,16184,188,0.5130676410113482,0.11189556763601657,2000,0.9996562560421138,0.9940989843594253,0.9960657102845702,0.942317888360947,0.94,0.88,3.021,38.7625,0.9999385853081499,0.9999076132775154
0.01,rule_fusion,16372,188,0.5,0.9889445394576105,1.0,0.03723404255319149,0.07179487179487179,0.0,0.9627659574468085,0.042791550933410014,0.15201524321222865,7,0,16184,181,0.6599986130246842,0.09765342799616296,2000,0.9996562560421138,0.9940989843594253,0.9960657102845702,0.942317888360947,0.94,0.88,3.021,38.7625,0.9999385853081499,0.9999076132775154
0.01,multi_evidence_logistic,16372,188,0.9,0.9627412655753725,0.127208480565371,0.3829787234042553,0.1909814323607427,0.03052397429560059,0.6170212765957447,0.14638866598060704,0.24050974046624582,72,494,15690,116,0.7956674769407136,0.3521253901590837,2000,0.9996562560421138,0.9940989843594253,0.9960657102845702,0.942317888360947,0.94,0.88,3.021,38.7625,0.9999385853081499,0.9999076132775154
0.05,no_filter,17226,1042,0.5,0.9395100429583189,0.0,0.0,0.0,0.0,1.0,0.060489957041681176,0.060489957041681176,0,0,16184,1042,0.5,0.060489957041681176,2000,0.9971014503983358,0.9974870469962507,0.9875098981075049,0.9775824518148221,0.79,0.87,11.3065,15.615,0.99972662888861,0.9997977076243642
0.05,simple_rule,17226,1042,0.5,0.9567514222686636,0.9966555183946488,0.28598848368522073,0.4444444444444444,6.178942165101334e-05,0.7140115163147792,0.04324857773133635,0.043248577731336356,298,1,16183,744,0.6429633471317848,0.32822252641133987,2000,0.9971014503983358,0.9974870469962507,0.9875098981075049,0.9775824518148221,0.79,0.87,11.3065,15.615,0.99972662888861,0.9997977076243642
0.05,behavior_only,17226,1042,0.5,0.9395100429583189,0.0,0.0,0.0,0.0,1.0,0.08266246683863157,0.17928700186101093,0,0,16184,1042,0.6156753121255276,0.5541432462938897,2000,0.9971014503983358,0.9974870469962507,0.9875098981075049,0.9775824518148221,0.79,0.87,11.3065,15.615,0.99972662888861,0.9997977076243642
0.05,content_only,17226,1042,0.5,0.9424706838499942,1.0,0.04894433781190019,0.09332113449222323,0.0,0.9510556621880998,0.057796575775833504,0.0873680575947143,51,0,16184,991,0.5189906703903193,0.24711595817228219,2000,0.9971014503983358,0.9974870469962507,0.9875098981075049,0.9775824518148221,0.79,0.87,11.3065,15.615,0.99972662888861,0.9997977076243642
0.05,rule_fusion,17226,1042,0.5,0.9407291303843028,1.0,0.02015355086372361,0.03951081843838194,0.0,0.9798464491362764,0.05812827335812039,0.09237045974000484,21,0,16184,1021,0.787069620667506,0.3422043953262877,2000,0.9971014503983358,0.9974870469962507,0.9875098981075049,0.9775824518148221,0.79,0.87,11.3065,15.615,0.99972662888861,0.9997977076243642
0.05,multi_evidence_logistic,17226,1042,0.9,0.9637176361314292,0.8192955589586524,0.5134357005758158,0.6312684365781711,0.007291151754819575,0.4865642994241843,0.08210863618536854,0.16364099869925025,535,118,16066,507,0.9321912094407594,0.7157104915496239,2000,0.9971014503983358,0.9974870469962507,0.9875098981075049,0.9775824518148221,0.79,0.87,11.3065,15.615,0.99972662888861,0.9997977076243642
0.1,no_filter,18233,2049,0.5,0.8876213459112599,0.0,0.0,0.0,0.0,1.0,0.11237865408874019,0.11237865408874019,0,0,16184,2049,0.5,0.11237865408874019,2000,0.9962087332527081,0.9965571001453993,0.9838083679229422,0.9742201029316923,0.71,0.84,15.0915,18.339,0.999601262209412,0.9997115573026485
0.1,simple_rule,18233,2049,0.5,0.9204738660670213,0.9983361064891847,0.29282576866764276,0.4528301886792453,6.178942165101334e-05,0.7071742313323572,0.07952613393297867,0.07952613393297865,600,1,16183,1449,0.6463819896229959,0.37180982609472685,2000,0.9962087332527081,0.9965571001453993,0.9838083679229422,0.9742201029316923,0.71,0.84,15.0915,18.339,0.999601262209412,0.9997115573026485
0.1,behavior_only,18233,2049,0.5,0.8876213459112599,0.0,0.0,0.0,0.0,1.0,0.11307503335932981,0.18178859597829555,0,0,16184,2049,0.5983133025839739,0.5755787061429715,2000,0.9962087332527081,0.9965571001453993,0.9838083679229422,0.9742201029316923,0.71,0.84,15.0915,18.339,0.999601262209412,0.9997115573026485
0.1,content_only,18233,2049,0.5,0.9084078319530522,1.0,0.18496827720839434,0.31219110378912684,0.0,0.8150317227916056,0.09960898253681537,0.13020858773825844,379,0,16184,1670,0.5180982241316128,0.2873903787096035,2000,0.9962087332527081,0.9965571001453993,0.9838083679229422,0.9742201029316923,0.71,0.84,15.0915,18.339,0.999601262209412,0.9997115573026485
0.1,rule_fusion,18233,2049,0.5,0.891954149070367,1.0,0.038555392874572963,0.07424812030075188,0.0,0.961444607125427,0.08210207027289075,0.08400721231897643,79,0,16184,1970,0.84412208600605,0.5530536534099784,2000,0.9962087332527081,0.9965571001453993,0.9838083679229422,0.9742201029316923,0.71,0.84,15.0915,18.339,0.999601262209412,0.9997115573026485
