split_seed,contamination,method,n,positives,threshold,accuracy,precision,recall,f1,fpr,fnr,brier,ece,tp,fp,tn,fn,auroc,auprc
20260828,0.01,multi_evidence_logistic,16372,188,0.9,0.9627412655753725,0.127208480565371,0.3829787234042553,0.1909814323607427,0.03052397429560059,0.6170212765957447,0.14638866598060704,0.24050974046624582,72,494,15690,116,0.7956674769407136,0.3521253901590837
20260828,0.05,multi_evidence_logistic,17226,1042,0.9,0.9637176361314292,0.8192955589586524,0.5134357005758158,0.6312684365781711,0.007291151754819575,0.4865642994241843,0.08210863618536854,0.16364099869925025,535,118,16066,507,0.9321912094407594,0.7157104915496239
20260828,0.1,multi_evidence_logistic,18233,2049,0.9,0.9506937969615532,0.900976290097629,0.6305514885309907,0.7418891759977031,0.008774097874443896,0.36944851146900926,0.08397397707782048,0.1550336414792639,1292,142,16042,757,0.9540593237553397,0.8522625209121659
20260828,0.2,multi_evidence_logistic,20223,4039,0.9,0.9195964990357514,0.9801034619976124,0.6098044070314435,0.7518315018315018,0.003089471082550667,0.39019559296855655,0.05835005344282012,0.08996331483009877,2463,50,16134,1576,0.9700649604321289,0.9252879228646679
20260828,0.3,multi_evidence_logistic,22184,6000,0.9,0.8911377569419401,0.9923098049986268,0.6021666666666666,0.7495073125194482,0.0017301038062283738,0.3978333333333333,0.055045687434837565,0.05017454241886544,3613,28,16156,2387,0.975408963585434,0.9492221922770738
101,0.01,multi_evidence_logistic,16399,215,0.9,0.9609122507469968,0.13275862068965516,0.3581395348837209,0.19371069182389938,0.031080079090459713,0.641860465116279,0.14798019592010878,0.24251966936334535,77,503,15681,138,0.7987682350642036,0.3470337670942508
101,0.05,multi_evidence_logistic,17148,964,0.9,0.9653603918824353,0.7936507936507936,0.5186721991701245,0.6273525721455459,0.008032624814631736,0.48132780082987553,0.08356772234899094,0.16895526822528056,500,130,16054,464,0.9320125994014886,0.7128933747549959
101,0.1,multi_evidence_logistic,18108,1924,0.9,0.9510713496796995,0.8850148367952523,0.6200623700623701,0.7292176039119804,0.00957736035590707,0.3799376299376299,0.08562447184866255,0.1602544578197231,1193,155,16029,731,0.9541580619651554,0.8442149184627227
101,0.2,multi_evidence_logistic,20208,4024,0.9,0.9199821852731591,0.9789096697174692,0.6113320079522863,0.752638825149151,0.0032748393475037075,0.38866799204771374,0.06008981376210025,0.09269971390959902,2460,53,16131,1564,0.9691078995625849,0.9224285840868544
101,0.3,multi_evidence_logistic,22184,6000,0.9,0.889560043274432,0.9916897506925207,0.5966666666666667,0.745057232049948,0.0018536826495304003,0.4033333333333333,0.056071069619821744,0.05246398732585713,3580,30,16154,2420,0.9749449919673752,0.9480587394246376
211,0.01,multi_evidence_logistic,16389,206,0.9,0.961376533040454,0.13504273504273503,0.38349514563106796,0.1997471554993679,0.031267379348699255,0.616504854368932,0.14855190030781112,0.24168091266339842,79,506,15677,127,0.7863224263265598,0.3458166987122587
211,0.05,multi_evidence_logistic,17214,1031,0.9,0.9642732659463228,0.8058823529411765,0.5315227934044617,0.6405610753945061,0.008156707656182413,0.4684772065955383,0.08440731404740016,0.1661877962246042,548,132,16051,483,0.9293117102145185,0.7104801934522889
211,0.1,multi_evidence_logistic,18234,2051,0.9,0.9504222880333443,0.892539356605065,0.6357874207703559,0.7425968109339408,0.009701538651671508,0.36421257922964406,0.08565921331494976,0.1579461317889519,1304,157,16026,747,0.954819847096831,0.8546141786295007
211,0.2,multi_evidence_logistic,20205,4022,0.9,0.9219005196733482,0.9792156862745098,0.6208354052710094,0.7598904443091905,0.0032750417104368784,0.37916459472899056,0.059596891650568196,0.09302417513899536,2497,53,16130,1525,0.96921047352089,0.9244102585407604
211,0.3,multi_evidence_logistic,22183,6000,0.9,0.8930261912275166,0.9918633034987795,0.6095,0.7550325178073707,0.0018537971945869122,0.3905,0.055485448476899416,0.05388470656805455,3657,30,16153,2343,0.9745097684813281,0.9485032468821221
307,0.01,multi_evidence_logistic,16393,210,0.9,0.9607149393033612,0.12062937062937062,0.32857142857142857,0.17647058823529413,0.03108199962924056,0.6714285714285714,0.14606083276239262,0.23779053361136826,69,503,15680,141,0.7891708818483829,0.30330107620181807
307,0.05,multi_evidence_logistic,17216,1033,0.9,0.9646259293680297,0.8221884498480243,0.5237173281703775,0.6398580721466588,0.007229809058888957,0.4762826718296225,0.08179017021018087,0.16185604297539816,541,117,16066,492,0.928826959128348,0.7147995578467848
307,0.1,multi_evidence_logistic,18245,2062,0.9,0.9493559879419019,0.9007042253521127,0.6202715809893308,0.7346352670878805,0.008712846814558488,0.3797284190106692,0.08432267742279638,0.15218651226670218,1279,141,16042,783,0.9498258970972939,0.8444180092876692
307,0.2,multi_evidence_logistic,20236,4053,0.9,0.9198952362126902,0.9817749603803486,0.6113989637305699,0.7535350463737266,0.002842489031699932,0.38860103626943004,0.058750887831877464,0.08806377232224614,2478,46,16137,1575,0.9677067354738127,0.9229696747727765
307,0.3,multi_evidence_logistic,22183,6000,0.9,0.8922598386151558,0.9931693989071039,0.6058333333333333,0.7525879917184265,0.0015448309954890936,0.39416666666666667,0.054737502605896465,0.04994881654303236,3635,25,16158,2365,0.9747085470349544,0.9488366766179708
401,0.01,multi_evidence_logistic,16360,176,0.9,0.9617359413202934,0.1134020618556701,0.375,0.1741424802110818,0.03188334157192289,0.625,0.14748081476044878,0.2420566164388685,66,516,15668,110,0.8181180978407405,0.3494400661280354
401,0.05,multi_evidence_logistic,17188,1004,0.9,0.9656155457295788,0.8068350668647846,0.5408366533864541,0.6475849731663685,0.008032624814631736,0.4591633466135458,0.08269415919236994,0.16592015591914172,543,130,16054,461,0.9333047505972157,0.7291939969002995
401,0.1,multi_evidence_logistic,18206,2022,0.9,0.9514995056574755,0.8908716540837337,0.6419386745796242,0.746191434320207,0.009824518042511122,0.3580613254203759,0.08487201367505884,0.15678196058668442,1298,159,16025,724,0.9533285276931509,0.8553228514536656
401,0.2,multi_evidence_logistic,20226,4042,0.9,0.9233659646000197,0.9773946360153257,0.6311232063334983,0.7669873722188816,0.0036455758774097875,0.3688767936665017,0.05831802674299822,0.09270595968556782,2551,59,16125,1491,0.9704557060039138,0.9282120028867356
401,0.3,multi_evidence_logistic,22184,6000,0.9,0.8954652001442481,0.9906691548920288,0.6193333333333333,0.7621782381294226,0.0021626297577854673,0.38066666666666665,0.05506429525424749,0.05379114925349766,3716,35,16149,2284,0.9744353528175976,0.9489897362376792
