year,genre,avg_rating,albums_count,ratings_count,critic_score,user_score,score_gap,ai_sensitivity,collection_date,source,is_synthetic,provenance_status
2010,Indie Rock,7.09,247,15071,68.5,7.0,0.41,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Indie Rock,6.99,253,15725,80.6,7.1,0.24,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Indie Rock,7.11,266,15947,74.2,6.9,0.39,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Indie Rock,7.16,225,16569,73.0,6.8,0.26,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Indie Rock,7.18,253,16991,78.3,7.2,0.66,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Indie Rock,6.8,291,17417,76.1,7.2,0.52,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Indie Rock,7.09,288,18117,71.8,6.9,0.95,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Indie Rock,6.74,284,18611,77.9,7.2,0.74,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Indie Rock,6.9,287,18964,69.3,6.7,0.65,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Indie Rock,7.04,303,19623,73.5,7.1,0.3,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Indie Rock,6.89,272,19985,75.1,7.1,0.63,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Indie Rock,7.2,299,20554,67.8,6.6,0.2,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Indie Rock,7.12,320,21094,74.0,6.7,0.4,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Indie Rock,7.13,298,21533,65.4,6.9,0.46,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Indie Rock,6.95,327,22064,73.5,6.9,1.03,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Indie Rock,7.13,303,22537,68.0,6.8,0.21,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Indie Rock,7.07,329,22744,87.2,7.0,0.32,0.8,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Electronic,6.36,239,15007,74.3,7.3,0.55,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Electronic,6.95,257,15563,76.4,7.5,0.54,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Electronic,7.29,287,15953,79.2,6.7,0.78,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Electronic,7.12,266,16752,72.7,6.6,0.12,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Electronic,7.05,282,17190,81.5,7.1,0.38,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Electronic,7.33,249,17405,68.2,7.5,1.02,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Electronic,6.95,262,18178,70.5,7.2,0.38,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Electronic,7.0,264,18387,78.2,6.4,0.49,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Electronic,6.75,294,19133,68.4,7.0,0.35,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Electronic,6.9,294,19841,71.5,6.9,0.57,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Electronic,7.05,274,19967,84.4,6.7,0.41,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
