title,artist,year,avg_rating,ratings_count,genres,source,collection_date,rank,is_synthetic,provenance_status
Album_2000_0001,Artist_2000_0001,2000,3.25,749,"Ambient, Electronic",synthetic,2026-08-08T00:56:44.307637,1,True,illustrative_synthetic
Album_2000_0002,Artist_2000_0002,2000,2.34,326,"Ambient, Punk, Reggae",synthetic,2026-08-08T00:56:44.307637,2,True,illustrative_synthetic
Album_2000_0003,Artist_2000_0003,2000,2.78,50,Reggae,synthetic,2026-08-08T00:56:44.307637,3,True,illustrative_synthetic
Album_2000_0004,Artist_2000_0004,2000,3.15,58,"Country, Folk",synthetic,2026-08-08T00:56:44.307637,4,True,illustrative_synthetic
Album_2000_0005,Artist_2000_0005,2000,3.27,50,"Experimental, Pop, Alt. Rock",synthetic,2026-08-08T00:56:44.307637,5,True,illustrative_synthetic
Album_2000_0006,Artist_2000_0006,2000,2.85,481,"Blues, Punk",synthetic,2026-08-08T00:56:44.307637,6,True,illustrative_synthetic
Album_2000_0007,Artist_2000_0007,2000,2.98,70,"Classical, Indie Rock",synthetic,2026-08-08T00:56:44.307637,7,True,illustrative_synthetic
Album_2000_0008,Artist_2000_0008,2000,3.3,59,"Rock, Reggae",synthetic,2026-08-08T00:56:44.307637,8,True,illustrative_synthetic
Album_2000_0009,Artist_2000_0009,2000,2.8,71,"Folk, Hip-Hop, Country",synthetic,2026-08-08T00:56:44.307637,9,True,illustrative_synthetic
Album_2000_0010,Artist_2000_0010,2000,2.8,50,"Rock, Blues, Hip-Hop",synthetic,2026-08-08T00:56:44.307637,10,True,illustrative_synthetic
Album_2000_0011,Artist_2000_0011,2000,3.34,225,"Blues, Alt. Rock",synthetic,2026-08-08T00:56:44.307637,11,True,illustrative_synthetic
Album_2000_0012,Artist_2000_0012,2000,3.21,50,"Blues, Hip-Hop",synthetic,2026-08-08T00:56:44.307637,12,True,illustrative_synthetic
Album_2000_0013,Artist_2000_0013,2000,3.15,50,"Punk, Folk, Classical",synthetic,2026-08-08T00:56:44.307637,13,True,illustrative_synthetic
Album_2000_0014,Artist_2000_0014,2000,2.94,60,Hip-Hop,synthetic,2026-08-08T00:56:44.307637,14,True,illustrative_synthetic
Album_2000_0015,Artist_2000_0015,2000,3.72,211,"Folk, Blues",synthetic,2026-08-08T00:56:44.307637,15,True,illustrative_synthetic
Album_2000_0016,Artist_2000_0016,2000,2.99,614,"R&B, Electronic",synthetic,2026-08-08T00:56:44.307637,16,True,illustrative_synthetic
Album_2000_0017,Artist_2000_0017,2000,3.44,50,"Country, Rock",synthetic,2026-08-08T00:56:44.307637,17,True,illustrative_synthetic
Album_2000_0018,Artist_2000_0018,2000,3.05,573,Jazz,synthetic,2026-08-08T00:56:44.307637,18,True,illustrative_synthetic
Album_2000_0019,Artist_2000_0019,2000,2.76,170,"Punk, Rock, Pop",synthetic,2026-08-08T00:56:44.307637,19,True,illustrative_synthetic
